"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"1","$2023-07-17 06:28:07",7109977,6741070,7.0018263,0.0334,38.06516,31.81735,100.4,8.08,51.92232,4.48093,2023-07-17 06:28:07
"2","$2023-07-17 06:28:21",7109806,6740876,7.0015426,0.1983,38.17654,31.804,100.7,8.08,51.92241,4.48094,2023-07-17 06:28:21
"3","$2023-07-17 06:28:23",7109780,6740884,7.0017242,0.5303,38.14755,31.79065,100.4,8.08,51.92241,4.48094,2023-07-17 06:28:23
"4","$2023-07-17 06:28:25",7109789,6740880,7.0017695,0.1319,38.17654,31.81735,100.4,8.08,51.92241,4.48094,2023-07-17 06:28:25
"5","$2023-07-17 06:28:35",7109732,6740787,7.001554,0.3312,38.0209,31.81735,100.4,8.08,51.92287,4.48104,2023-07-17 06:28:35
"6","$2023-07-17 06:28:37",7109732,6740758,7.0019627,1.1944,38.03464,31.79065,100,8.08,51.92287,4.48104,2023-07-17 06:28:37
"7","$2023-07-17 06:28:39",7109740,6740799,7.0022917,0.958,38.04837,31.804,100.4,8.08,51.92287,4.48104,2023-07-17 06:28:39
"8","$2023-07-17 06:28:41",7109757,6740816,7.0023713,0.2326,38.05142,31.81735,100.4,8.08,51.92287,4.48104,2023-07-17 06:28:41
"9","$2023-07-17 06:28:49",7109840,6740874,7.0021214,0.0652,37.78286,31.81735,100.7,8.08,51.92287,4.48104,2023-07-17 06:28:49
"10","$2023-07-17 06:28:51",7109826,6740856,7.0022464,0.3643,37.79507,31.7773,100.4,8.08,51.92287,4.48104,2023-07-17 06:28:51
"11","$2023-07-17 06:28:53",7109820,6740824,7.0024281,0.53,37.86832,31.81735,100.4,8.08,51.92287,4.48104,2023-07-17 06:28:53
"12","$2023-07-17 06:28:55",7109870,6740887,7.002564,0.3952,37.93698,31.79065,100.4,8.08,51.92287,4.48104,2023-07-17 06:28:55
"13","$2023-07-17 06:28:57",7109896,6740891,7.002655,0.2665,37.90951,31.804,100.4,8.08,51.92183,0.01667,2023-07-17 06:28:57
"14","$2023-07-17 06:28:59",7109879,6740877,7.0027118,0.1651,37.83627,31.79065,100.4,8.08,51.92183,0.01667,2023-07-17 06:28:59
"15","$2023-07-17 06:29:07",7109940,6740913,7.002553,0.0985,37.95071,31.79065,100.4,8.08,51.92293,4.48119,2023-07-17 06:29:07
"16","$2023-07-17 06:29:09",7109955,6740925,7.0026889,0.3974,37.99191,31.79065,100.4,8.08,51.92293,4.48119,2023-07-17 06:29:09
"17","$2023-07-17 06:29:11",7109964,6740928,7.0027914,0.2978,37.96445,31.804,100.7,8.08,51.92293,4.48119,2023-07-17 06:29:11
"18","$2023-07-17 06:29:13",7109979,6740938,7.0028481,0.1669,37.99191,31.79065,100.4,8.08,51.92293,4.48119,2023-07-17 06:29:13
"19","$2023-07-17 06:29:15",7110032,6740990,7.0028706,0.0656,37.97513,31.7773,100.4,8.08,51.92293,4.48119,2023-07-17 06:29:15
"20","$2023-07-17 06:29:25",7110174,6741125,7.0022349,0.0335,37.85001,31.7773,100,8.08,51.92293,4.48119,2023-07-17 06:29:25
"21","$2023-07-17 06:29:27",7110188,6741126,7.0023828,0.4293,37.90646,31.7773,100.7,8.08,51.92293,4.48119,2023-07-17 06:29:27
"22","$2023-07-17 06:29:29",7110190,6741157,7.0024509,0.2003,37.90646,31.7773,100.4,8.08,51.9231,4.48119,2023-07-17 06:29:29
"23","$2023-07-17 06:29:33",7110300,6741218,7.0024734,0.1321,38.00565,31.79065,100.4,8.08,51.9231,4.48119,2023-07-17 06:29:33
"24","$2023-07-17 06:29:35",7110319,6741220,7.0025983,0.3636,38.03006,31.76128,100.4,8.08,51.9231,4.48119,2023-07-17 06:29:35
"25","$2023-07-17 06:29:37",7110374,6741271,7.0027461,0.4293,38.03311,31.7773,100.7,8.08,51.9231,4.48119,2023-07-17 06:29:37
"26","$2023-07-17 06:29:39",7110415,6741321,7.0027571,0.032,38.03006,31.76128,100.4,8.08,51.9231,4.48119,2023-07-17 06:29:39
"27","$2023-07-17 06:29:49",7110619,6741489,7.0024395,0.1656,38.03311,31.7773,100.4,8.08,51.92289,4.48108,2023-07-17 06:29:49
"28","$2023-07-17 06:29:51",7110661,6741518,7.0025983,0.4644,38.06058,31.7773,100.4,8.08,51.92289,4.48108,2023-07-17 06:29:51
"29","$2023-07-17 06:29:53",7110720,6741559,7.0027571,0.466,38.10178,31.7773,100.4,8.08,51.92289,4.48108,2023-07-17 06:29:53
"30","$2023-07-17 06:29:55",7110782,6741607,7.0028934,0.3979,38.11246,31.74793,100.4,8.08,51.92289,4.48108,2023-07-17 06:29:55
"31","$2023-07-17 06:29:57",7110805,6741580,7.0030975,0.596,38.1445,31.7773,100.4,8.08,51.92289,4.48108,2023-07-17 06:29:57
"32","$2023-07-17 06:29:59",7110849,6741616,7.0033813,0.824,38.21622,31.7773,100.7,8.08,51.92289,4.48108,2023-07-17 06:29:59
"33","$2023-07-17 06:30:01",7110930,6741694,7.0036764,0.8679,38.27115,31.7773,100.4,8.08,51.92289,4.48108,2023-07-17 06:30:01
"34","$2023-07-17 06:30:03",7111010,6741745,7.0038466,0.4963,38.28489,31.76128,100.4,8.08,51.92289,4.48108,2023-07-17 06:30:03
"35","$2023-07-17 06:30:05",7111034,6741765,7.0039601,0.3292,38.20249,31.7773,100.7,8.08,51.92289,4.48108,2023-07-17 06:30:05
"36","$2023-07-17 06:30:07",7111120,6741820,7.0041304,0.4969,38.22995,31.76128,100.7,8.08,51.92289,4.48108,2023-07-17 06:30:07
"37","$2023-07-17 06:30:09",7111171,6741869,7.0043125,0.529,38.19944,31.76128,100.7,8.08,51.9228,4.48105,2023-07-17 06:30:09
"38","$2023-07-17 06:30:11",7111219,6741902,7.0044255,0.3295,38.23911,31.74793,100.4,8.08,51.9228,4.48105,2023-07-17 06:30:11
"39","$2023-07-17 06:30:13",7111300,6741971,7.0044937,0.1987,38.28489,31.7773,100.4,8.08,51.9228,4.48105,2023-07-17 06:30:13
"40","$2023-07-17 06:30:27",7111761,6742398,7.0041304,0.2972,37.98733,31.74793,100.7,8.08,51.92281,4.48105,2023-07-17 06:30:27
"41","$2023-07-17 06:30:29",7111819,6742382,7.004437,0.881,38.03006,31.74793,100.7,8.08,51.92285,4.48105,2023-07-17 06:30:29
"42","$2023-07-17 06:30:31",7111880,6742412,7.0049706,1.5697,38.08499,31.73457,100.4,8.08,51.92285,4.48105,2023-07-17 06:30:31
"43","$2023-07-17 06:30:33",7111943,6742491,7.0054359,1.3543,38.18418,31.73457,100.7,8.08,51.92285,4.48105,2023-07-17 06:30:33
"44","$2023-07-17 06:30:35",7112010,6742567,7.0055494,0.3301,38.19944,31.76128,100.7,8.08,51.92285,4.48105,2023-07-17 06:30:35
