"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin17.1","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"6428",0,"220054000c504e5354303420",1689567664,"51.922546","4.480918","4.05",9.15,14.94,144,50,12,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,7,630,26.63,44.95,1,20.5,59.7,"na","na",281,278,331,246,20,2023-07-17 06:21:04,16.0910319345238,26.63,44.95,16.3849647292572
"6429",0,"220054000c504e5354303420",1689567669,"51.922546","4.480918","4.22",12.78,21.57,133,39,15,5,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,12,631,26.62,44.99,1,20.4,59.7,"na","na",282,278,330,240,19,2023-07-17 06:21:09,15.608010843254,26.62,44.99,15.2632688467275
"6430",0,"220054000c504e5354303420",1689567674,"51.922546","4.480918","5.53",20.27,38.77,178,39,21,5,4,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,13,632,26.58,45.02,1,20.4,59.8,"na","na",280,278,330,249,23,2023-07-17 06:21:14,16.0452956448413,26.58,45.02,15.2546730133942
"6431",0,"220054000c504e5354303420",1689567679,"51.922546","4.480918","5.2",11.37,13.1,193,58,12,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,7,631,26.59,45.12,1,20.4,59.9,"na","na",282,278,333,249,16,2023-07-17 06:21:19,15.691860515873,26.59,45.12,16.4631081439394
"6432",0,"220054000c504e5354303420",1689567684,"51.922546","4.480918","5.03",17.55,55.26,184,41,17,8,3,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,6,633,26.58,45.16,1,20.3,60,"na","na",283,278,334,249,19,2023-07-17 06:21:24,15.9096674494949,26.58,45.16,17.1449703282828
"6433",0,"220054000c504e5354303420",1689567689,"51.922546","4.480918","5.21",12.84,28.74,228,70,25,6,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,13,633,26.55,45.22,1,20.3,60,"na","na",282,278,335,250,24,2023-07-17 06:21:29,15.5813146527778,26.55,45.22,17.2180575203963
"6435",0,"220054000c504e5354303420",1689567694,"51.922546","4.480918","4.21",13.51,29.06,170,44,12,5,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,9,633,26.55,45.19,1,20.3,60.2,"na","na",282,278,335,251,19,2023-07-17 06:21:34,15.7506375793651,26.55,45.19,17.2223075203963
"6436",0,"220054000c504e5354303420",1689567699,"51.922546","4.480918","4.32",15.12,65.71,137,35,13,1,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,11,634,26.51,45.25,1,20.3,60.2,"na","na",283,278,337,254,15,2023-07-17 06:21:39,15.8552990972222,26.51,45.25,17.4080752349624
"6437",0,"220054000c504e5354303420",1689567704,"51.922546","4.480918","5.01",14.18,18.6,157,48,6,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,14,634,26.5,45.32,1,20.3,60.3,"na","na",282,278,335,254,19,2023-07-17 06:21:44,15.3858304960317,26.5,45.32,17.2326241870629
"6438",0,"220054000c504e5354303420",1689567709,"51.922546","4.480918","5.29",19.67,61.57,173,38,13,3,6,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,9,634,26.44,45.37,1,20.2,60.4,"na","na",283,278,339,258,26,2023-07-17 06:21:49,15.8969815268759,26.44,45.37,18.093237797619
