"","time","number","diam","LDSA","surface","mass","sigma","idiff","ucor","DV","T","RH","P","flow","bat","Ipump","error","PWMpump","steps","n10.00","n16.26","n26.43","n42.96","n69.83","n113.52","n184.55","n300.00","A1","A2","A3","A4","A5","Part_time"
"1",3,13937,16,11,13.2,0.05,1.35,0,0,360,24.7,56,1016.4,0.501,4.01,16.56,0,54,100,14365,40602,11075,0,0,0,0,0,1.53946,0.4019,0,0,0,2023-07-17 06:22:16
"2",7,9834,17,9.3,24.8,0.38,1.66,1.99,3549,360,24.8,50,1016.6,0.501,4.01,17.12,0,54,100,11832,23500,9155,0,452,1661,0,0,1.53428,0.40054,0.49814,0,0,2023-07-17 06:22:20
"3",11,4903,22,9.6,46.2,2.08,1.96,2.01,3551,719,24.7,49,1016.3,0.5,4.01,17.2,0,55,100,4077,8528,6729,2520,82,754,20,520,1.39054,0.36302,0.45147,0.3026,0,2023-07-17 06:22:24
"4",15,5712,21,9.8,65.3,3.42,1.94,2.02,3549,1199,24.7,48,1016.2,0.5,4.01,17.64,0,55,100,5023,10247,8066,2790,0,0,0,939,1.52644,0.3985,0.49559,0.33218,0.1709,2023-07-17 06:22:28
"5",19,5606,23,9.6,58.7,2.89,1.91,2.01,3547,99,24.8,48,1016.3,0.5,4.01,17.12,0,55,92,3955,8316,8344,5163,0,0,0,785,1.35102,0.84564,0.43864,0.294,0.15126,2023-07-17 06:22:32
"6",23,4535,26,8.7,66.5,3.11,2.19,1.98,3547,361,24.8,47,1016.2,0.5,4.01,17.08,0,54,100,3223,6619,5360,2626,2431,420,11,800,1.42505,0.89198,0.6636,0.31011,0.15955,2023-07-17 06:22:36
"7",27,4758,24,9,72,3.49,2.18,2.02,3547,720,24.8,47,1016.4,0.5,4.01,16.96,0,55,100,3687,7666,6052,2449,1115,502,203,872,1.42851,0.89414,0.66521,0.38112,0.15994,2023-07-17 06:22:40
"8",31,5814,24,9.6,75.4,3.23,2.18,1.98,3547,1199,24.8,47,1016.5,0.501,4.01,16.8,0,54,100,4758,9914,7454,2341,334,1458,631,658,1.66522,1.0423,0.77544,0.44427,0.14762,2023-07-17 06:22:44
"9",35,4110,32,9.4,76.9,3.54,2.23,2.01,3545,100,24.8,47,1016.4,0.5,4.01,17.04,0,54,100,1954,4267,4804,4207,2527,815,1,896,1.58035,1.08296,0.73592,0.42163,0.1401,2023-07-17 06:22:48
"10",39,6192,26,9.1,79.6,3.92,1.95,2.02,3549,360,24.8,47,1016.3,0.499,4.01,17.28,0,54,45,3206,7235,9461,8377,0,0,0,1063,1.72631,1.18298,0.55592,0.46057,0.15304,2023-07-17 06:22:52
"11",43,5724,27,9.8,56.8,2.37,1.93,1.96,3547,719,24.8,47,1016.4,0.5,4.01,16.84,0,54,74,3021,6558,7840,6860,2240,0,0,606,1.55165,1.06329,0.49968,0.24881,0.13755,2023-07-17 06:22:56
"12",47,5874,26,9.5,56.9,2.42,1.92,2.02,3545,1199,24.8,47,1016.4,0.5,4.01,16.52,0,54,78,3312,7108,8191,6767,1809,24,0,626,1.53228,1.05002,0.49344,0.24571,0.13912,2023-07-17 06:23:00
"13",51,4858,32,9.3,54.3,2.1,1.89,1.96,3545,99,24.8,47,1016.3,0.5,4.01,16.88,0,54,55,1595,3723,6417,7618,3145,0,0,520,1.49924,1.15205,0.4828,0.24041,0.13612,2023-07-17 06:23:04
"14",55,4330,37,10.1,64,2.28,2.07,2,3544,360,24.8,47,1016.5,0.5,4,16.88,0,54,38,1471,3228,4268,4909,5024,1123,0,494,1.6598,1.27544,0.77247,0.26616,0.1507,2023-07-17 06:23:08
"15",59,4094,34,9.6,73.8,3.3,2.14,2.01,3544,720,24.8,47,1016.3,0.501,4,16.76,0,54,75,1572,3531,4735,4997,3198,523,13,831,1.54189,1.18483,0.7176,0.3706,0.14,2023-07-17 06:23:12
