"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"2",0,"220054000c504e5354303420",1689830922,"0","0","0.8",0.93,0.93,75,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,12,635,26.14,46.96,1,19.6,63.8,"na","na",285,278,388,229,27,2023-07-20 07:28:42,10.0603875,26.14,46.96,17.2641354166667
"3",0,"220054000c504e5354303420",1689830927,"0","0","0.94",3.22,12.63,102,11,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,11,635,26.12,46.99,1,19.6,63.8,"na","na",285,278,388,230,34,2023-07-20 07:28:47,11.2491654166667,26.12,46.99,17.2645229166667
"4",0,"220054000c504e5354303420",1689830932,"0","0","0.78",1.12,1.15,80,12,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,11,635,26.12,46.96,1,19.6,63.8,"na","na",284,278,389,230,26,2023-07-20 07:28:52,10.0632979166667,26.12,46.96,17.2666520833333
"5",0,"220054000c504e5354303420",1689830937,"0","0","0.85",3.51,5.98,73,7,4,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,13,635,26.12,46.98,1,19.6,63.8,"na","na",285,278,387,229,29,2023-07-20 07:28:57,11.04854875,26.12,46.98,17.2688770833333
"6",0,"220054000c504e5354303420",1689830942,"0","0","0.72",2.41,4.14,83,9,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,10,634,26.14,46.95,1,19.6,63.9,"na","na",284,278,389,232,46,2023-07-20 07:29:02,10.2468,26.14,46.95,17.2488895833333
"7",0,"220054000c504e5354303420",1689830947,"0","0","0.78",2.86,6.16,88,7,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,14,634,26.11,46.92,1,19.5,63.8,"na","na",284,278,389,231,48,2023-07-20 07:29:07,10.59172,26.11,46.92,17.37459375
"9",0,"220054000c504e5354303420",1689830952,"0","0","0.84",1.79,2.03,85,9,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,10,634,26.1,46.93,1,19.5,63.9,"na","na",285,278,388,227,54,2023-07-20 07:29:12,10.1541075,26.1,46.93,17.3529645833333
"10",0,"220054000c504e5354303420",1689830957,"0","0","0.73",2.47,15.98,79,12,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,10,634,26.11,46.91,1,19.5,63.9,"na","na",285,278,386,231,69,2023-07-20 07:29:17,10.2523029166667,26.11,46.91,17.3692729166667
"11",0,"220054000c504e5354303420",1689830962,"0","0","0.78",4.11,15.68,73,11,5,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,9,634,26.08,46.93,1,19.5,64,"na","na",286,278,386,230,52,2023-07-20 07:29:22,12.2463917857143,26.08,46.93,17.3762479166667
"12",0,"220054000c504e5354303420",1689830967,"0","0","0.95",3.84,10.01,82,10,5,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,12,634,26.1,47.02,1,19.5,64.1,"na","na",282,278,386,231,65,2023-07-20 07:29:27,12.1550141666667,26.1,47.02,17.2673354166667
