"","time","number","diam","LDSA","surface","mass","A1","A2","idiff","HV","EM1","EM2","DV","T","RH","P","flow","bat","Ipump","error","PWMpump","Part_time"
"1",1,4537,36,8.85,41.91,0.84,1.428,0.543,0,281,-1.12,0.12,360,20.2,0,1032.3,0.5,4.15,15.84,0,53,2023-10-05 06:54:05
"2",2,5754,31,9.62,39.84,0.69,1.552,0.5,2,3591,3.36,1.93,360,20.2,61,1032.3,0.5,4.14,15.4,0,53,2023-10-05 06:54:06
"3",3,6364,28,9.66,36.8,0.59,1.559,0.448,0,283,-1.8,-0.19,364,20.2,61,1023,0.5,4.15,15.08,0,53,2023-10-05 06:54:07
"4",4,4851,37,9.63,46.3,0.95,1.553,0.601,2,3594,3.6,1.43,360,20.2,61,1023,0.5,4.14,15.28,0,53,2023-10-05 06:54:08
"5",5,6147,33,10.86,47.15,0.86,1.751,0.6,0,287,-1.8,-0.5,359,20.4,58,1023,0.5,4.15,15.24,0,53,2023-10-05 06:54:09
"6",6,6055,33,10.96,48.64,0.91,1.768,0.622,2.01,3592,3.6,1.62,359,20.4,58,1023.5,0.5,4.14,15.52,0,53,2023-10-05 06:54:10
"7",7,5456,36,10.62,50.2,1.01,1.713,0.65,0,283,-1.86,-0.5,359,20.4,58,1023.5,0.5,4.14,15.6,0,53,2023-10-05 06:54:11
"8",8,5355,37,10.75,52.14,1.08,1.733,0.678,2.01,3591,2.92,1.86,359,20.4,58,1023.5,0.5,4.14,15.6,0,53,2023-10-05 06:54:12
"9",9,4874,36,9.61,45.96,0.93,1.551,0.596,0,283,-1.37,-0.62,359,20.4,58,1023.3,0.5,4.15,15.6,0,53,2023-10-05 06:54:13
"10",10,4483,36,8.67,40.75,0.81,1.399,0.527,1.97,3588,3.11,1.37,360,20.4,58,1023.3,0.5,4.14,15.16,0,53,2023-10-05 06:54:14
"11",11,4002,42,9.12,49.37,1.15,1.47,0.648,0,281,-1.86,-0.5,359,20.4,57,1023.3,0.5,4.15,15.2,0,53,2023-10-05 06:54:15
"12",12,3884,44,9.34,53.06,1.3,1.507,0.696,1.99,3591,3.6,1.68,359,20.4,57,1023.3,0.499,4.14,15.32,0,53,2023-10-05 06:54:16
"13",13,5032,37,10.18,49.76,1.03,1.642,0.648,0,284,-2.8,-0.56,359,20.4,57,1023.3,0.5,4.14,15.12,0,53,2023-10-05 06:54:17
"14",14,5867,37,11.97,58.96,1.24,1.931,0.768,2.02,3590,3.6,1.74,360,20.4,56,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:54:18
"15",15,6466,35,12.23,56.32,1.1,1.972,0.726,0,280,-1.93,-1.18,361,20.4,56,1023.3,0.5,4.14,15.52,0,53,2023-10-05 06:54:19
"16",16,6215,33,10.95,47.41,0.87,1.765,0.603,2,3591,3.05,1.62,359,20.4,56,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:54:20
"17",17,5201,35,9.98,46.6,0.92,1.61,0.602,0,284,-1.37,-0.5,360,20.5,56,1023.3,0.501,4.14,15.36,0,52,2023-10-05 06:54:21
"18",18,4966,35,9.3,42.51,0.82,1.5,0.547,2,3587,2.98,1.55,360,20.5,56,1023.4,0.5,4.14,15.36,0,52,2023-10-05 06:54:22
"19",19,5431,31,9.05,37.39,0.65,1.46,0.469,0,280,-1.31,-0.44,358,20.5,56,1023.4,0.5,4.15,14.88,0,52,2023-10-05 06:54:23
"20",20,5186,32,8.96,38.2,0.69,1.446,0.483,1.99,3588,3.29,1.43,359,20.4,56,1023.4,0.5,4.14,15.16,0,52,2023-10-05 06:54:24
"21",21,5181,33,9.33,41.17,0.77,1.504,0.526,0,277,-1.74,-0.31,359,20.4,56,1023.4,0.501,4.14,15.08,0,52,2023-10-05 06:54:25
"22",22,5165,34,9.42,42.05,0.79,1.519,0.538,1.99,3591,3.42,1.49,358,20.4,56,1023.4,0.5,4.14,15.2,0,53,2023-10-05 06:54:26
"23",23,5667,33,10.21,45.14,0.84,1.648,0.577,0,281,-1.86,-0.62,359,20.4,55,1023.4,0.5,4.15,15.36,0,52,2023-10-05 06:54:27
"24",24,5482,35,10.3,47.2,0.92,1.661,0.608,1.99,3588,3.23,1.74,358,20.4,55,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:54:28
"25",25,4980,35,9.48,43.92,0.86,1.529,0.567,0,283,-2.11,-0.62,359,20.4,55,1023.3,0.5,4.15,15.6,0,53,2023-10-05 06:54:29
"26",26,4220,41,9.51,51.02,1.17,1.534,0.669,1.98,3590,3.17,1.55,360,20.4,55,1023.3,0.5,4.14,15.48,0,53,2023-10-05 06:54:30
"27",27,4146,42,9.68,53.53,1.27,1.561,0.702,0,283,-2.18,-0.68,360,20.4,55,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:54:31
"28",28,4816,38,9.96,49.58,1.05,1.606,0.647,2.01,3588,3.05,1.55,359,20.4,55,1023.3,0.5,4.14,15.28,0,53,2023-10-05 06:54:32
"29",29,4803,36,9.44,45.02,0.91,1.523,0.584,0,281,-1.74,-0.75,358,20.4,55,1023.3,0.5,4.14,15.12,0,53,2023-10-05 06:54:33
"30",30,4982,33,8.74,37.75,0.69,1.41,0.479,2,3583,3.48,1.37,360,20.4,55,1023.2,0.5,4.14,15.12,0,53,2023-10-05 06:54:34
"31",31,4316,37,8.67,42.08,0.87,1.398,0.547,0,280,-1.8,-0.5,359,20.4,55,1023.2,0.5,4.15,15.08,0,53,2023-10-05 06:54:35
"32",32,4359,39,9.33,47.89,1.05,1.505,0.626,2.02,3587,3.73,1.49,359,20.4,55,1023.2,0.5,4.14,15.04,0,53,2023-10-05 06:54:36
"33",33,5192,38,10.68,52.97,1.12,1.723,0.691,0,281,-2.3,-0.68,360,20.4,55,1023.3,0.5,4.15,15.04,0,53,2023-10-05 06:54:37
"34",34,5622,38,11.64,57.99,1.23,1.877,0.756,2,3588,3.48,1.62,358,20.4,55,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:54:38
"35",35,5750,34,10.62,47.96,0.92,1.713,0.616,0,280,-2.24,-0.81,360,20.4,55,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:54:39
"36",36,4868,37,9.87,48.36,1.01,1.593,0.629,2.01,3588,2.73,1.55,359,20.4,55,1023.2,0.5,4.14,15.48,0,53,2023-10-05 06:54:40
"37",37,4744,38,9.81,48.88,1.04,1.583,0.638,0,284,-1.86,-0.93,360,20.4,55,1023.2,0.499,4.14,15.52,0,53,2023-10-05 06:54:41
"38",38,5242,34,9.61,43.1,0.82,1.55,0.552,2,3582,2.92,1.49,360,20.5,55,1023.2,0.5,4.14,15.84,0,53,2023-10-05 06:54:42
"39",39,5213,33,9.37,41.27,0.77,1.511,0.527,0,283,-1.37,-0.93,358,20.5,55,1023.4,0.5,4.14,15.4,0,53,2023-10-05 06:54:43
"40",40,5302,30,8.4,33.19,0.55,1.355,0.41,1.98,3587,3.48,1.18,358,20.5,55,1023.4,0.5,4.14,15.36,0,53,2023-10-05 06:54:44
"41",41,5703,30,9.27,37.45,0.63,1.495,0.466,0,281,-1.86,-0.37,359,20.4,55,1023.4,0.5,4.14,15.44,0,53,2023-10-05 06:54:45
