"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"1","$2023-07-21 06:22:53",7803483,7135355,10.1968765,5.0658,51.44274,23.28565,100.7,7.97,52.30817,4.95465,2023-07-21 06:22:53
"2","$2023-07-21 06:22:55",7802353,7134358,10.1986587,5.1787,51.77539,23.29901,101,7.97,52.30817,4.95465,2023-07-21 06:22:55
"3","$2023-07-21 06:22:57",7801538,7133802,10.1995695,2.6401,52.10651,23.31236,101,7.97,52.30817,4.95465,2023-07-21 06:22:57
"4","$2023-07-21 06:23:09",7796037,7128959,10.1981843,0.6956,51.12688,23.38445,101.4,7.97,52.30817,4.95465,2023-07-21 06:23:09
"5","$2023-07-21 06:23:11",7795001,7127947,10.1988447,1.9216,50.97581,23.38445,100.4,7.97,52.30817,4.95465,2023-07-21 06:23:11
"6","$2023-07-21 06:23:13",7794016,7127160,10.1995921,2.1737,50.85069,23.40048,100.7,7.97,52.30817,4.95465,2023-07-21 06:23:13
"7","$2023-07-21 06:23:15",7793111,7126282,10.2000535,1.3528,50.80492,23.44053,100.7,7.97,52.30817,4.95468,2023-07-21 06:23:15
"8","$2023-07-21 06:23:17",7792037,7125264,10.2005374,1.412,50.66759,23.45655,100.7,7.97,52.30817,4.95468,2023-07-21 06:23:17
"9","$2023-07-21 06:23:19",7791139,7124519,10.2011645,1.8264,50.65385,23.44053,100.7,7.97,52.30817,4.95468,2023-07-21 06:23:19
"10","$2023-07-21 06:23:21",7790236,7123666,10.2017248,1.6339,50.63249,23.45655,101,7.97,52.30817,4.95468,2023-07-21 06:23:21
"11","$2023-07-21 06:23:23",7789217,7122688,10.2022302,1.4716,50.54551,23.48325,100.7,7.97,52.30817,4.95468,2023-07-21 06:23:23
"12","$2023-07-21 06:23:25",7788178,7121622,10.2032411,2.9386,50.52262,23.49661,100.7,7.97,52.30922,4.95864,2023-07-21 06:23:25
"13","$2023-07-21 06:23:27",7787158,7120863,10.2043295,3.1575,50.55924,23.49661,100.7,7.97,52.30922,4.95864,2023-07-21 06:23:27
"14","$2023-07-21 06:23:29",7786297,7119982,10.2049243,1.7369,50.74235,23.52598,100.7,7.97,52.30922,4.95864,2023-07-21 06:23:29
"15","$2023-07-21 06:23:31",7785235,7119046,10.2052867,1.0557,50.65385,23.51263,101,7.97,52.30922,4.95864,2023-07-21 06:23:31
"16","$2023-07-21 06:23:33",7784250,7118084,10.2058911,1.7588,50.66453,23.52598,100.7,7.97,52.30922,4.95864,2023-07-21 06:23:33
"17","$2023-07-21 06:23:35",7783287,7117273,10.2066171,2.1048,50.66911,23.55268,100.7,7.97,52.30926,4.95879,2023-07-21 06:23:35
"18","$2023-07-21 06:23:37",7782301,7116274,10.2072656,1.8843,50.71947,23.55268,100.7,7.97,52.30926,4.95879,2023-07-21 06:23:37
"19","$2023-07-21 06:23:39",7781281,7115331,10.208112,2.4623,50.65996,23.5687,100.7,7.97,52.30926,4.95879,2023-07-21 06:23:39
"20","$2023-07-21 06:23:41",7780272,7114336,10.2092218,3.2208,50.77745,23.58206,100.7,7.97,52.30926,4.95879,2023-07-21 06:23:41
"21","$2023-07-21 06:23:43",7779223,7113397,10.2103651,3.3231,50.87053,23.62478,100.7,7.97,52.30926,4.95879,2023-07-21 06:23:43
"22","$2023-07-21 06:23:45",7778315,7112700,10.2110028,1.8398,51.03533,23.62478,101,7.97,52.31011,4.96103,2023-07-21 06:23:45
"23","$2023-07-21 06:23:47",7777401,7111845,10.2110243,0.0638,51.09789,23.62478,100.7,7.97,52.31011,4.96103,2023-07-21 06:23:47
"24","$2023-07-21 06:23:51",7775405,7109940,10.2114975,1.5076,50.91173,23.65148,101,7.97,52.31011,4.96103,2023-07-21 06:23:51
"25","$2023-07-21 06:23:53",7774430,7109129,10.2123213,2.3956,50.96056,23.63813,101,7.97,52.31011,4.96103,2023-07-21 06:23:53
"26","$2023-07-21 06:24:01",7771030,7106106,10.2125525,3.6208,50.55009,23.68086,100.7,7.97,52.31019,4.96119,2023-07-21 06:24:01
"27","$2023-07-21 06:24:03",7770085,7105317,10.2135861,3.0083,50.4799,23.72358,100.7,7.97,52.31019,4.96119,2023-07-21 06:24:03
"28","$2023-07-21 06:24:05",7769124,7104400,10.2137506,0.4741,50.38835,23.70756,101,7.97,52.31019,4.96119,2023-07-21 06:24:05
"29","$2023-07-21 06:24:07",7768166,7103464,10.2141237,1.0875,50.26933,23.75028,100.7,7.97,52.31096,4.96335,2023-07-21 06:24:07
"30","$2023-07-21 06:24:09",7767455,7102847,10.2149379,2.3573,50.17929,23.75028,101,7.97,52.31096,4.96335,2023-07-21 06:24:09
"31","$2023-07-21 06:24:11",7766455,7102055,10.2154541,1.4919,50.20219,23.75028,101,7.97,52.31096,4.96335,2023-07-21 06:24:11
"32","$2023-07-21 06:24:17",7763681,7099514,10.2156961,0.9666,49.87106,23.80636,100.7,7.97,52.31171,4.96524,2023-07-21 06:24:17
"33","$2023-07-21 06:24:19",7762961,7098751,10.2163887,2.0151,49.79324,23.79301,101,7.97,52.31171,4.96524,2023-07-21 06:24:19
"34","$2023-07-21 06:24:21",7761817,7097611,10.2175653,3.4082,49.79782,23.81971,101,7.97,52.31171,4.96524,2023-07-21 06:24:21
"35","$2023-07-21 06:24:23",7760219,7096267,10.2188075,3.5954,49.8207,23.81971,101,7.97,52.31171,4.96524,2023-07-21 06:24:23
"36","$2023-07-21 06:24:25",7759466,7095608,10.2193785,1.6536,50.02823,23.84908,101,7.97,52.31171,4.96524,2023-07-21 06:24:25
"37","$2023-07-21 06:24:27",7758933,7095061,10.2194881,0.3185,50.11826,23.86244,100.7,7.97,0.01564,424.70002,2023-07-21 06:24:27
"38","$2023-07-21 06:24:29",7758036,7093971,10.220499,2.9262,50.07706,23.84908,101,7.97,0.01564,424.70002,2023-07-21 06:24:29
"39","$2023-07-21 06:24:31",7756976,7092944,10.2226973,6.3721,50.06943,23.87579,101,7.97,0.01564,424.70002,2023-07-21 06:24:31
"40","$2023-07-21 06:24:33",7756134,7092253,10.2248085,6.1053,50.34867,23.87579,101,7.97,0.01564,424.70002,2023-07-21 06:24:33
"41","$2023-07-21 06:24:35",7754753,7091083,10.2256095,2.3218,50.49058,23.89182,101,7.97,0.01564,424.70002,2023-07-21 06:24:35
"42","$2023-07-21 06:24:45",7750367,7087105,10.2208412,3.6266,49.59793,23.95056,100.4,7.97,52.31193,4.96567,2023-07-21 06:24:45
"43","$2023-07-21 06:24:47",7749268,7085886,10.2241158,9.5406,49.54757,23.95056,100.4,7.97,52.31248,4.96668,2023-07-21 06:24:47
"44","$2023-07-21 06:24:49",7748439,7085067,10.2279401,11.1122,50.11978,23.96391,100.4,7.97,52.31248,4.96668,2023-07-21 06:24:49
"45","$2023-07-21 06:24:51",7746858,7083769,10.2304018,7.2114,50.65843,24.00664,100.4,7.97,52.31248,4.96668,2023-07-21 06:24:51
"46","$2023-07-21 06:24:53",7745728,7082891,10.2305996,0.5734,51.1162,24.01999,100.7,7.97,52.31248,4.96668,2023-07-21 06:24:53
"47","$2023-07-21 06:25:09",7739564,7077860,10.2240396,0.258,49.65591,24.08942,100.7,7.97,52.31248,4.96944,2023-07-21 06:25:09
"48","$2023-07-21 06:25:11",7738761,7077033,10.2245224,1.4107,49.44229,24.10277,100.7,7.97,52.31248,4.96944,2023-07-21 06:25:11
"49","$2023-07-21 06:25:13",7737838,7076137,10.2254236,2.6146,49.28969,24.10277,100.7,7.97,52.31248,4.96944,2023-07-21 06:25:13
"50","$2023-07-21 06:25:15",7737160,7075617,10.2264011,2.8394,49.26681,24.11879,100.7,7.97,52.31248,4.96944,2023-07-21 06:25:15
"51","$2023-07-21 06:25:17",7736386,7074945,10.2268195,1.2109,49.23171,24.15884,100.4,7.97,52.31328,4.97184,2023-07-21 06:25:17
"52","$2023-07-21 06:25:19",7736572,7074700,10.2276325,2.3858,49.02876,24.14549,100.4,7.97,52.31328,4.97184,2023-07-21 06:25:19
