"","A"," deviceID","time","latitude","longitude","PM1","PM25","PM10","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","flowrate","countglitch","laser_status","temperature_opc","humidity_opc","data_is_valid","temperature","humidity","ambient_IR","object_IR","gas_op1_w","gas_op1_r","gas_op2_w","gas_op2_r","noise","time_local","PM25_cs3","temperature_opc_cs3","humidity_opc_cs3","gas_op2_w_cs3"
"1131",0,"220054000c504e5354303420",1691731083,"52.309013","4.972083","6.54",7.65,7.85,909,79,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,39,634,26.56,49.23,1,20.3,65.6,"na","na",284,278,350,253,28,2023-08-11 07:18:03,16.5924292162698,26.56,49.23,21.1472583333333
"1132",0,"220054000c504e5354303420",1691731088,"52.309013","4.972079","6.78",9.62,29.35,870,110,18,4,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,40,634,26.55,49.27,1,20.2,65.7,"na","na",284,278,348,256,17,2023-08-11 07:18:08,15.9207267667749,26.55,49.27,21.3143458333333
"1133",0,"220054000c504e5354303420",1691731093,"52.309013","4.972078","6.69",7.55,26.22,962,111,16,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,457,46,634,26.54,49.31,1,20.2,65.7,"na","na",285,278,348,256,20,2023-08-11 07:18:13,16.8509988194444,26.54,49.31,21.4231375
"1134",0,"220054000c504e5354303420",1691731098,"52.309013","4.972079","5.90",7.12,18.51,892,108,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,42,634,26.55,49.32,1,20.2,65.7,"na","na",285,278,346,254,19,2023-08-11 07:18:18,16.3044791964286,26.55,49.32,21.18605
"1135",0,"220054000c504e5354303420",1691731103,"52.309013","4.972080","6.75",9.13,15.65,857,114,18,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,46,634,26.52,49.32,1,20.2,65.7,"na","na",283,278,346,253,20,2023-08-11 07:18:23,16.2909722916666,26.52,49.32,21.18605
"1136",0,"220054000c504e5354303420",1691731108,"52.309017","4.972081","6.04",8.64,16.27,881,84,11,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,41,634,26.54,49.29,1,20.2,65.7,"na","na",285,278,344,253,20,2023-08-11 07:18:28,16.3775861881868,26.54,49.29,21.3615479166666
"1138",0,"220054000c504e5354303420",1691731113,"52.309017","4.972082","6.50",9.39,10.77,879,105,10,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,41,634,26.55,49.32,1,20.2,65.7,"na","na",284,278,346,252,50,2023-08-11 07:18:33,16.1105540773809,26.55,49.32,21.18605
"1139",0,"220054000c504e5354303420",1691731118,"52.309017","4.972083","6.73",8.92,11.57,915,115,13,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,41,634,26.55,49.29,1,20.2,65.7,"na","na",284,278,344,250,21,2023-08-11 07:18:38,16.2703008211233,26.55,49.29,21.3615479166666
"1140",0,"220054000c504e5354303420",1691731123,"52.309017","4.972082","5.90",6.89,7.09,898,101,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,33,634,26.52,49.28,1,20.2,65.7,"na","na",285,278,343,251,25,2023-08-11 07:18:43,16.2135336805555,26.52,49.28,21.2582672619047
"1141",0,"220054000c504e5354303420",1691731128,"52.309013","4.972080","6.24",8.67,14.94,927,82,15,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,37,634,26.54,49.31,1,20.2,65.8,"na","na",284,278,347,253,26,2023-08-11 07:18:48,16.5418323313492,26.54,49.31,21.5257416666667
"1142",0,"220054000c504e5354303420",1691731133,"52.309010","4.972084","6.09",8.02,9.07,919,99,15,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,50,634,26.54,49.33,1,20.2,65.5,"na","na",284,278,344,252,17,2023-08-11 07:18:53,16.6712350099206,26.54,49.33,21.31229375
"1143",0,"220054000c504e5354303420",1691731138,"52.309006","4.972085","6.03",7,7.19,906,110,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,46,634,26.52,49.35,1,20.2,65.9,"na","na",282,278,347,253,21,2023-08-11 07:18:58,16.1706073214286,26.52,49.35,21.5481833333333
