Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 17.7.2023 06:22:13
statistics: 149006 LDSAmin, 8948 min, 269176 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.2, RH 13.0...81.9
gain	1516.0	1553.0
startup	1451.9	1488.8
ST: Ipump 17.8mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  13937	 16	 11.0	 13.2	0.05	1.35	0.00	0	360	24.7	56	1016.4	0.501	4.01	16.56	0	54	100	14365	40602	11075	0	0	0	0	0	1.53946	0.40190	0.00000	0.00000	0.00000
7.0	   9834	 17	  9.3	 24.8	0.38	1.66	1.99	3549	360	24.8	50	1016.6	0.501	4.01	17.12	0	54	100	11832	23500	9155	0	452	1661	0	0	1.53428	0.40054	0.49814	0.00000	0.00000
11.0	   4903	 22	  9.6	 46.2	2.08	1.96	2.01	3551	719	24.7	49	1016.3	0.500	4.01	17.20	0	55	100	4077	8528	6729	2520	82	754	20	520	1.39054	0.36302	0.45147	0.30260	0.00000
15.0	   5712	 21	  9.8	 65.3	3.42	1.94	2.02	3549	1199	24.7	48	1016.2	0.500	4.01	17.64	0	55	100	5023	10247	8066	2790	0	0	0	939	1.52644	0.39850	0.49559	0.33218	0.17090
19.0	   5606	 23	  9.6	 58.7	2.89	1.91	2.01	3547	99	24.8	48	1016.3	0.500	4.01	17.12	0	55	92	3955	8316	8344	5163	0	0	0	785	1.35102	0.84564	0.43864	0.29400	0.15126
23.0	   4535	 26	  8.7	 66.5	3.11	2.19	1.98	3547	361	24.8	47	1016.2	0.500	4.01	17.08	0	54	100	3223	6619	5360	2626	2431	420	11	800	1.42505	0.89198	0.66360	0.31011	0.15955
27.0	   4758	 24	  9.0	 72.0	3.49	2.18	2.02	3547	720	24.8	47	1016.4	0.500	4.01	16.96	0	55	100	3687	7666	6052	2449	1115	502	203	872	1.42851	0.89414	0.66521	0.38112	0.15994
31.0	   5814	 24	  9.6	 75.4	3.23	2.18	1.98	3547	1199	24.8	47	1016.5	0.501	4.01	16.80	0	54	100	4758	9914	7454	2341	334	1458	631	658	1.66522	1.04230	0.77544	0.44427	0.14762
35.0	   4110	 32	  9.4	 76.9	3.54	2.23	2.01	3545	100	24.8	47	1016.4	0.500	4.01	17.04	0	54	100	1954	4267	4804	4207	2527	815	1	896	1.58035	1.08296	0.73592	0.42163	0.14010
39.0	   6192	 26	  9.1	 79.6	3.92	1.95	2.02	3549	360	24.8	47	1016.3	0.499	4.01	17.28	0	54	45	3206	7235	9461	8377	0	0	0	1063	1.72631	1.18298	0.55592	0.46057	0.15304
43.0	   5724	 27	  9.8	 56.8	2.37	1.93	1.96	3547	719	24.8	47	1016.4	0.500	4.01	16.84	0	54	74	3021	6558	7840	6860	2240	0	0	606	1.55165	1.06329	0.49968	0.24881	0.13755
