Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 10.8.2023 07:04:51
statistics: 169336 LDSAmin, 10053 min, 302374 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.3, RH 13.0...81.9
gain	1516.0	1553.0
startup	1457.8	1494.0
ST: Ipump 23.4mA	Display 16.4V	CE -23.7V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  21036	 20	 21.1	 34.9	0.19	1.46	0.00	0	360	19.9	60	1021.8	0.500	4.16	23.48	0	60	100	12276	38737	42453	6220	0	0	0	0	3.15584	1.50152	0.00000	0.00000	0.00000
7.0	   9948	 28	 20.5	 81.4	1.40	2.23	2.02	3601	360	20.0	61	1022.0	0.500	4.15	22.52	0	59	100	7332	15381	8246	870	10831	4481	0	0	3.25857	1.55041	1.72135	0.00000	0.00000
11.0	  16421	 18	 20.2	104.3	2.66	2.07	1.98	3599	719	20.0	62	1022.0	0.499	4.15	22.72	0	59	100	23738	45277	0	0	1	7493	1274	33	3.29571	1.56807	1.74097	0.74522	0.00000
15.0	  12366	 21	 20.7	128.8	4.73	2.19	2.01	3600	1199	20.0	62	1021.8	0.500	4.15	22.44	0	59	100	12711	25412	12934	0	0	5764	1020	758	3.36074	1.59901	1.77532	0.75993	0.20951
19.0	   6606	 54	 21.0	130.4	3.52	1.91	1.99	3600	100	20.0	63	1021.8	0.500	4.15	22.04	0	58	100	560	1760	4905	8394	8671	5695	1018	299	3.33229	2.98599	1.76029	0.75349	0.20774
23.0	   6811	 53	 20.6	134.7	3.71	1.91	2.00	3605	359	20.1	63	1022.2	0.500	4.14	21.48	0	58	100	559	1790	5103	8766	8956	5787	957	356	3.42634	3.07028	1.81005	0.77476	0.21360
27.0	   7514	 52	 21.5	139.6	4.24	1.80	2.00	3599	718	20.0	63	1021.8	0.500	4.15	21.20	0	58	100	335	1390	5889	10976	11250	5027	4	732	3.54100	3.17302	1.87063	0.69376	0.22075
31.0	   6992	 54	 21.5	121.2	2.51	1.86	2.00	3597	1198	20.0	63	1022.1	0.500	4.15	20.76	0	58	62	572	1822	4771	8379	9703	7194	688	0	3.47394	3.11292	1.83519	0.68062	0.15467
35.0	   7019	 52	 21.9	120.4	2.57	1.92	2.00	3597	100	20.1	63	1021.9	0.500	4.15	20.76	0	58	85	824	2315	4962	8100	9331	6970	732	24	3.45448	2.98651	1.82492	0.67681	0.15380
39.0	   7066	 52	 20.7	122.1	2.67	1.92	1.98	3596	359	20.1	63	1022.1	0.500	4.15	20.92	0	58	60	826	2328	4952	8100	9479	7109	617	69	3.47803	3.00686	1.86034	0.68142	0.15485
43.0	   7088	 53	 21.9	125.0	2.71	1.94	2.00	3596	718	20.1	63	1022.0	0.499	4.15	20.88	0	58	65	834	2339	4969	8080	9325	7111	917	12	3.53404	3.05528	1.89030	0.72016	0.15735
47.0	   7102	 52	 21.6	129.8	3.31	1.95	2.01	3597	1196	20.1	63	1022.0	0.500	4.15	20.20	0	57	80	891	2443	5202	8351	9350	6510	627	280	3.48987	3.01709	1.86667	0.71115	0.18555
51.0	   7165	 51	 21.8	128.8	3.13	2.00	2.00	3599	99	20.1	63	1022.0	0.500	4.15	20.44	0	57	100	1116	2866	5262	7947	9074	6617	903	164	3.52952	2.97378	1.88789	0.71924	0.18765
55.0	   7378	 47	 21.3	127.1	3.86	1.96	1.99	3596	360	20.1	62	1022.0	0.500	4.15	20.04	0	57	38	1110	3072	6160	9473	9642	4841	0	661	3.34356	2.81711	1.63952	0.68134	0.17777
59.0	   7121	 46	 19.5	132.2	4.42	2.00	1.99	3596	718	20.1	63	1022.0	0.500	4.15	20.56	0	57	13	1146	3118	6195	9240	8661	4536	0	848	3.25958	2.74635	1.59834	0.75667	0.17330
63.0	   7931	 44	 21.9	126.7	3.36	2.03	1.98	3595	1196	20.2	63	1022.2	0.500	4.15	20.44	0	57	77	1475	3981	7632	10466	7278	5481	984	284	3.44998	2.90677	1.69170	0.80087	0.09561
67.0	   7474	 48	 21.6	128.3	3.36	1.99	2.02	3596	99	20.2	63	1022.0	0.500	4.15	20.04	0	57	66	1123	3112	6405	9481	8229	5968	810	289	3.48498	2.97117	1.70886	0.80899	0.09658
71.0	   6882	 50	 21.4	121.6	2.83	1.99	1.98	3596	359	20.1	63	1022.0	0.500	4.15	19.88	0	57	65	979	2700	5335	8049	7975	6445	1062	65	3.36052	2.86506	1.75270	0.78010	0.09313
75.0	   7559	 51	 22.2	120.7	2.38	1.92	2.01	3593	718	20.2	63	1022.2	0.500	4.15	19.88	0	57	58	968	2696	5429	8652	9922	7778	370	2	3.62153	3.08759	1.88883	0.69648	0.10037
79.0	   7280	 50	 21.0	111.1	2.09	1.95	2.00	3593	1197	20.1	63	1022.0	0.500	4.15	19.56	0	57	64	1017	3017	5589	8342	8221	8299	9	0	3.40015	2.89885	1.77337	0.65390	0.02127
83.0	   7425	 51	 21.5	114.3	2.13	1.91	2.00	3595	99	20.1	63	1021.8	0.501	4.15	19.52	0	57	72	923	2717	5391	8518	9387	8247	0	0	3.51758	3.00512	1.83462	0.67649	0.02200
87.0	   7657	 52	 21.4	124.4	2.39	1.91	1.99	3592	359	20.1	62	1022.0	0.500	4.15	19.60	0	57	58	899	2628	5227	8488	10107	8788	145	0	3.74498	3.19940	2.00184	0.72022	0.02342
91.0	   7532	 52	 21.1	118.2	2.20	1.91	1.98	3595	718	20.2	62	1022.1	0.500	4.15	19.48	0	57	73	913	2757	5175	8329	10009	8508	0	0	3.61636	3.08951	1.93308	0.63974	0.02262
95.0	   6950	 52	 21.6	110.9	2.12	1.90	1.99	3593	1200	20.1	62	1022.0	0.500	4.15	19.20	0	57	57	845	2355	4746	7763	9568	7493	163	1	3.35793	2.86873	1.79494	0.59402	0.10941
99.0	   6956	 51	 20.7	111.1	2.17	1.94	2.02	3595	99	20.2	62	1022.1	0.500	4.15	18.84	0	56	72	984	2628	4812	7549	9349	7402	231	6	3.35523	2.82323	1.79350	0.59355	0.10932
103.0	   7375	 50	 21.9	111.5	2.18	1.92	1.99	3596	359	20.1	62	1021.9	0.501	4.15	19.52	0	56	71	1053	2831	5464	8505	9723	7232	94	43	3.43610	2.89127	1.74527	0.60785	0.11195
107.0	   7321	 49	 20.7	121.2	2.72	1.98	1.98	3593	718	20.2	62	1022.1	0.501	4.15	19.68	0	56	73	1124	2998	5703	8533	8811	6682	755	81	3.48438	2.93191	1.76979	0.72896	0.11353
111.0	   7402	 49	 21.4	123.0	2.83	1.98	2.00	3592	1200	20.2	62	1021.8	0.500	4.15	19.36	0	56	58	1144	3055	5799	8655	8883	6713	703	120	3.51458	2.95731	1.78513	0.73528	0.11328
