Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 14.8.2023 08:04:57
statistics: 182980 LDSAmin, 10478 min, 315140 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.3, RH 13.0...81.9
gain	1516.0	1553.0
startup	1454.8	1492.2
ST: Ipump 19.5mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  37777	 19	 32.3	 51.6	0.25	1.41	0.00	0	360	21.6	62	1014.9	0.497	3.96	20.88	0	57	100	25427	77338	74793	1461	0	0	0	0	5.16137	2.12638	0.00000	0.00000	0.00000
7.0	  16741	 22	 33.4	 71.0	0.98	1.92	2.01	3573	362	21.7	59	1014.8	0.500	3.94	19.68	0	56	100	14650	30502	18522	2629	10991	2035	0	0	3.79354	1.56286	1.37099	0.00000	0.00000
11.0	   9195	 21	  9.1	 54.2	1.36	1.93	2.01	3583	719	21.7	58	1015.0	0.498	3.96	20.64	0	57	100	8434	17559	12115	2019	0	2595	820	30	2.10461	0.86706	0.76061	0.37836	0.00000
15.0	  21015	 19	 26.1	135.6	5.09	1.86	1.98	3576	1199	21.7	59	1015.1	0.500	3.96	20.20	0	57	100	21524	43831	27788	718	0	3598	1210	916	4.31184	1.77639	1.55831	0.77516	0.21966
19.0	  18727	 23	 28.3	151.9	5.30	1.98	2.00	3577	99	21.7	60	1015.2	0.496	3.96	20.48	0	57	100	14364	30306	24725	11063	3352	2412	1651	869	4.62336	2.68198	1.67089	0.83116	0.23553
23.0	  10393	 31	 22.3	141.2	4.43	2.32	1.99	3576	362	21.7	60	1014.9	0.500	3.96	20.48	0	57	100	6372	13254	10205	4904	6853	6626	348	688	3.99750	2.31892	2.04482	0.71865	0.20364
27.0	  11851	 28	 24.9	152.3	5.02	2.32	2.00	3572	719	21.7	59	1015.0	0.501	3.96	19.52	0	56	100	8513	17569	12502	3958	5345	6732	773	766	4.15251	2.40884	2.12411	0.83502	0.21154
31.0	  15519	 24	 28.0	143.5	3.54	2.26	1.99	3571	1199	21.8	58	1015.1	0.500	3.96	20.00	0	57	100	14055	28568	16766	0	2739	9922	1421	68	4.43697	2.57386	2.26962	0.89222	0.16805
35.0	   9970	 49	 28.6	163.7	3.98	1.96	1.98	3573	100	21.8	58	1015.1	0.501	3.96	19.80	0	57	62	1467	3967	7975	12129	12235	8650	489	332	4.61763	3.93940	2.36203	0.92854	0.17489
39.0	  10215	 47	 29.5	165.0	4.30	1.95	2.00	3575	361	21.7	58	1014.9	0.501	3.96	19.48	0	57	73	1500	4105	8610	13072	12332	8057	214	513	4.62245	3.94351	2.24977	0.92951	0.17507
43.0	  10907	 46	 30.0	163.1	4.04	1.93	2.01	3575	718	21.8	58	1014.7	0.500	3.96	19.44	0	57	100	1651	4473	9383	14230	13420	8049	9	471	4.73493	4.03947	2.30451	0.88169	0.17933
47.0	  10744	 45	 27.4	177.0	5.70	1.91	2.01	3572	1199	21.7	57	1014.9	0.500	3.96	19.48	0	56	100	1450	4477	9752	15573	15052	2497	1169	940	4.53352	3.86764	2.20649	0.84419	0.26940
51.0	  10484	 47	 28.6	171.9	4.95	1.92	1.98	3569	99	21.8	58	1014.9	0.500	3.95	19.32	0	56	34	1445	4074	8739	13806	14161	6658	0	796	4.66785	3.99381	2.27187	0.86920	0.27738
55.0	  10359	 51	 30.3	177.0	4.18	1.94	2.01	3569	362	21.8	58	1015.1	0.500	3.96	19.36	0	56	100	1393	3700	7594	12087	13897	9414	734	269	4.99439	4.27319	2.59930	0.93001	0.29679
59.0	  10285	 49	 30.0	186.9	5.32	1.99	2.00	3571	718	21.8	57	1014.9	0.500	3.95	19.08	0	56	70	1548	4039	8187	12518	12990	8140	618	695	4.87440	4.17054	2.53686	1.01580	0.28966
63.0	  10146	 51	 29.5	172.7	3.88	1.95	2.01	3569	1198	21.8	57	1015.0	0.500	3.96	18.80	0	56	72	1358	3725	7582	11861	12780	9644	1000	127	4.90483	4.19657	2.55270	1.02214	0.18212
67.0	  10280	 48	 29.4	174.3	4.16	2.02	1.98	3569	99	21.8	57	1015.0	0.500	3.96	19.16	0	56	72	1790	4604	8032	11558	12174	9300	1031	225	4.89326	4.07483	2.54667	1.01973	0.18169
71.0	  10777	 47	 30.3	175.8	4.46	2.01	2.02	3571	361	21.8	56	1014.8	0.500	3.96	18.92	0	56	78	1924	4963	9029	12917	12410	8699	721	404	4.93335	4.10821	2.44682	1.02809	0.18318
75.0	  11696	 45	 31.2	173.5	4.29	1.99	1.99	3569	718	21.8	56	1014.9	0.501	3.96	18.44	0	56	100	2289	5738	9961	14019	14036	8893	0	490	5.06032	4.21395	2.50980	0.90160	0.18790
79.0	  11319	 47	 31.2	168.6	3.88	1.97	2.01	3569	1198	21.8	56	1015.0	0.500	3.96	19.20	0	56	99	2011	5126	9211	13419	14106	9414	4	347	5.02844	4.18740	2.49399	0.89592	0.19611
83.0	  12730	 41	 32.8	179.7	4.74	2.08	2.00	3569	100	21.8	56	1014.9	0.500	3.96	18.88	0	56	98	3724	8618	11670	13745	13368	8353	253	593	5.16985	4.16203	2.56412	0.92111	0.20163
87.0	  11958	 43	 31.7	169.9	4.29	2.02	1.99	3567	361	21.8	56	1014.9	0.500	3.96	18.28	0	56	99	2826	6826	10682	13963	13421	8425	0	521	5.03581	4.05412	2.39798	0.89723	0.19640
91.0	  11647	 41	 30.8	168.0	4.30	2.03	2.01	3569	718	21.9	56	1014.9	0.499	3.96	18.76	0	56	37	2693	7154	11222	14881	12827	3460	2806	146	4.76148	3.83327	2.26735	0.95162	0.18570
95.0	  10481	 41	 27.9	164.7	5.37	2.04	1.99	3568	1198	21.8	56	1015.0	0.499	3.96	18.44	0	56	65	2608	6415	10076	12973	11260	5313	0	1022	4.31586	3.47452	2.05515	0.86256	0.21324
99.0	  12296	 33	 26.9	169.8	5.82	2.22	1.98	3567	99	21.9	56	1015.1	0.499	3.96	19.08	0	56	100	6276	13475	12996	9770	8408	6051	178	1109	4.53545	3.06140	2.15971	0.90644	0.22409
103.0	  12013	 35	 28.9	180.2	5.84	2.27	2.00	3567	361	21.9	56	1015.1	0.501	3.96	18.48	0	56	100	5813	12440	11755	8925	9187	7354	487	967	4.78927	3.23273	2.41566	0.95717	0.23664
107.0	  13085	 30	 29.9	168.8	5.11	2.30	2.00	3567	718	21.8	56	1015.2	0.501	3.95	18.56	0	56	100	8320	17447	13750	6485	6473	7685	1238	609	4.61035	3.11196	2.32541	0.97213	0.22779
111.0	  16468	 24	 29.8	145.9	3.04	2.28	1.98	3569	1198	21.9	56	1015.1	0.500	3.96	18.20	0	55	100	14355	30215	18042	0	91	15334	0	0	4.64542	3.13564	2.34310	0.97953	0.05198
115.0	  12846	 35	 29.4	154.4	3.09	2.25	1.98	3567	98	21.9	56	1015.1	0.500	3.96	18.32	0	55	93	5745	13831	13731	10239	3007	14275	47	0	4.74260	3.77636	2.39212	1.00002	0.05307
