Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 5.10.2023 06:54:04
statistics: 246099 LDSAmin, 12118 min, 364420 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 0 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...35.7, RH 13.0...81.9
gain	1516.0	1553.0
startup	1456.2	1493.1
ST: Ipump 15.4mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	A1	A2	idiff	HV	EM1	EM2	DV	T	RH	P	flow	bat	Ipump	error	PWMpump
1.0	   4537	 36	 8.85	41.91	0.84	1.428	0.543	0.00	281	-1.12	0.12	360	20.2	0	1032.3	0.500	4.15	15.84	0	53
2.0	   5754	 31	 9.62	39.84	0.69	1.552	0.500	2.00	3591	3.36	1.93	360	20.2	61	1032.3	0.500	4.14	15.40	0	53
3.0	   6364	 28	 9.66	36.80	0.59	1.559	0.448	0.00	283	-1.80	-0.19	364	20.2	61	1023.0	0.500	4.15	15.08	0	53
4.0	   4851	 37	 9.63	46.30	0.95	1.553	0.601	2.00	3594	3.60	1.43	360	20.2	61	1023.0	0.500	4.14	15.28	0	53
5.0	   6147	 33	10.86	47.15	0.86	1.751	0.600	0.00	287	-1.80	-0.50	359	20.4	58	1023.0	0.500	4.15	15.24	0	53
6.0	   6055	 33	10.96	48.64	0.91	1.768	0.622	2.01	3592	3.60	1.62	359	20.4	58	1023.5	0.500	4.14	15.52	0	53
7.0	   5456	 36	10.62	50.20	1.01	1.713	0.650	0.00	283	-1.86	-0.50	359	20.4	58	1023.5	0.500	4.14	15.60	0	53
8.0	   5355	 37	10.75	52.14	1.08	1.733	0.678	2.01	3591	2.92	1.86	359	20.4	58	1023.5	0.500	4.14	15.60	0	53
9.0	   4874	 36	 9.61	45.96	0.93	1.551	0.596	0.00	283	-1.37	-0.62	359	20.4	58	1023.3	0.500	4.15	15.60	0	53
10.0	   4483	 36	 8.67	40.75	0.81	1.399	0.527	1.97	3588	3.11	1.37	360	20.4	58	1023.3	0.500	4.14	15.16	0	53
11.0	   4002	 42	 9.12	49.37	1.15	1.470	0.648	0.00	281	-1.86	-0.50	359	20.4	57	1023.3	0.500	4.15	15.20	0	53
12.0	   3884	 44	 9.34	53.06	1.30	1.507	0.696	1.99	3591	3.60	1.68	359	20.4	57	1023.3	0.499	4.14	15.32	0	53
13.0	   5032	 37	10.18	49.76	1.03	1.642	0.648	0.00	284	-2.80	-0.56	359	20.4	57	1023.3	0.500	4.14	15.12	0	53
14.0	   5867	 37	11.97	58.96	1.24	1.931	0.768	2.02	3590	3.60	1.74	360	20.4	56	1023.3	0.500	4.14	15.56	0	53
15.0	   6466	 35	12.23	56.32	1.10	1.972	0.726	0.00	280	-1.93	-1.18	361	20.4	56	1023.3	0.500	4.14	15.52	0	53
16.0	   6215	 33	10.95	47.41	0.87	1.765	0.603	2.00	3591	3.05	1.62	359	20.4	56	1023.3	0.500	4.14	15.56	0	53
17.0	   5201	 35	 9.98	46.60	0.92	1.610	0.602	0.00	284	-1.37	-0.50	360	20.5	56	1023.3	0.501	4.14	15.36	0	52
18.0	   4966	 35	 9.30	42.51	0.82	1.500	0.547	2.00	3587	2.98	1.55	360	20.5	56	1023.4	0.500	4.14	15.36	0	52
19.0	   5431	 31	 9.05	37.39	0.65	1.460	0.469	0.00	280	-1.31	-0.44	358	20.5	56	1023.4	0.500	4.15	14.88	0	52
