Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 12.7.2023 08:18:48
statistics: 132972 LDSAmin, 8343 min, 251010 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...30.7, RH 13.0...81.9
gain	1516.0	1553.0
startup	1447.1	1483.3
ST: Ipump 17.3mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  20748	 17	 16.2	 24.0	0.10	1.39	0.00	0	360	28.7	49	1009.7	0.500	4.16	17.12	0	54	100	16559	52079	29682	0	0	0	0	0	2.58134	0.87177	0.00000	0.00000	0.00000
7.0	  17076	 17	 15.9	 40.9	0.56	1.67	2.00	3549	357	28.7	52	1009.7	0.502	4.15	17.72	0	55	100	20262	40674	15357	0	2672	1953	0	0	2.53584	0.85640	0.70625	0.00000	0.00000
11.0	  10922	 22	 16.3	 76.9	3.02	1.87	2.00	3547	720	28.7	53	1009.8	0.500	4.15	16.72	0	54	100	8385	17782	15024	7270	1738	725	108	722	2.76788	0.93477	0.77088	0.45349	0.00000
15.0	  15453	 19	 16.0	 79.6	3.11	1.72	1.98	3548	1198	28.7	54	1009.8	0.500	4.15	16.72	0	54	100	15605	32074	21523	1971	0	629	808	619	2.86951	0.96909	0.79918	0.47014	0.07854
19.0	   8043	 31	 15.7	 73.8	2.63	1.82	2.00	3547	99	28.7	54	1009.9	0.499	4.15	16.44	0	54	93	2581	6508	11281	13244	3788	27	60	623	2.29039	1.73118	0.63789	0.37526	0.06269
23.0	   6266	 34	 13.7	 64.7	1.31	2.10	2.02	3541	358	28.7	53	1010.0	0.500	4.15	16.20	0	54	64	2669	6023	6635	6073	4686	3109	492	1	2.15445	1.62843	0.95667	0.35299	0.05897
27.0	   5880	 36	 13.5	 87.0	2.92	2.14	1.98	3541	720	28.7	51	1009.7	0.500	4.15	16.00	0	54	100	2115	4967	6638	6901	3562	2716	475	486	2.24721	1.69854	0.99786	0.54556	0.06151
31.0	   6879	 32	 14.1	 87.9	2.58	2.18	2.01	3537	1199	28.7	49	1009.8	0.500	4.15	16.08	0	54	100	3233	7455	8601	7233	1455	2975	1477	169	2.36758	1.78952	1.05131	0.57479	0.11738
35.0	   6847	 31	 14.3	 98.2	3.82	2.16	1.98	3537	99	28.7	49	1009.8	0.499	4.15	16.28	0	54	100	3330	7432	8290	6976	3035	2255	324	803	2.37364	1.70145	1.05400	0.57626	0.11768
39.0	   7930	 28	 15.0	 91.5	3.13	2.09	2.02	3536	358	28.7	48	1009.8	0.500	4.15	16.12	0	54	85	4304	9755	10880	8480	584	1580	1622	370	2.39311	1.71541	0.96545	0.58098	0.11865
43.0	   7291	 29	 13.1	 82.1	2.58	2.11	2.01	3533	720	28.7	47	1009.9	0.500	4.15	16.08	0	54	86	3923	8859	9693	7510	1070	1709	1567	220	2.24915	1.61222	0.90737	0.52262	0.11151
47.0	   6442	 30	 14.5	 99.0	4.62	2.07	1.99	3533	1198	28.6	47	1009.9	0.500	4.15	16.04	0	54	100	2983	6575	8268	7860	3623	0	0	1215	2.13853	1.53293	0.86275	0.49692	0.22307
51.0	   7146	 30	 13.8	109.2	5.12	2.07	1.98	3532	99	28.6	47	1009.8	0.500	4.15	16.12	0	54	95	3341	7366	9273	8763	3772	0	0	1348	2.33737	1.69370	0.94297	0.54312	0.24382
55.0	   8495	 27	 14.5	110.7	5.38	1.96	2.00	3531	357	28.7	46	1010.0	0.500	4.15	15.64	0	54	58	4334	9614	12675	11484	699	0	2	1449	2.37568	1.72146	0.85784	0.55202	0.24781
59.0	   8477	 29	 15.2	111.5	5.12	1.99	2.01	3532	719	28.7	46	1010.0	0.500	4.15	15.88	0	53	67	3960	8759	11725	11269	3109	0	0	1347	2.55187	1.84913	0.92146	0.54240	0.26619
63.0	   7929	 30	 14.3	 98.4	4.15	1.98	2.01	3536	1199	28.6	46	1009.8	0.500	4.16	16.04	0	54	53	3385	7770	10535	10599	3933	132	201	1015	2.44718	1.77327	0.88366	0.52015	0.14012
67.0	   6996	 30	 14.0	 84.9	3.57	1.99	2.01	3533	99	28.6	46	1010.0	0.500	4.15	16.08	0	53	72	3121	7197	9357	9096	3171	114	232	863	2.11900	1.52251	0.76516	0.45040	0.12133
71.0	   6291	 30	 13.6	 78.8	2.74	2.18	2.00	3531	358	28.6	47	1010.1	0.500	4.15	16.00	0	53	86	3600	7742	7326	4962	2885	2437	367	491	2.05269	1.47487	0.94042	0.43630	0.11753
75.0	   6041	 34	 13.8	 91.3	3.50	2.16	2.00	3532	719	28.6	47	1010.0	0.501	4.15	15.84	0	53	100	2633	5840	6726	6202	4172	2268	3	778	2.23782	1.60788	1.02524	0.50326	0.12814
79.0	   6242	 32	 13.4	 97.3	4.03	2.18	2.02	3532	1199	28.6	47	1009.8	0.500	4.15	15.88	0	53	100	3001	6545	7193	6199	4043	1522	135	937	2.23530	1.60608	1.02408	0.50270	0.16600
83.0	   5438	 39	 13.6	 94.4	3.67	2.07	2.01	3535	100	28.6	47	1009.9	0.500	4.15	16.04	0	53	93	1473	3502	5727	7169	5243	1818	3	832	2.20813	1.77003	1.01164	0.49659	0.16399
87.0	   5950	 37	 13.2	 97.7	3.98	2.02	1.97	3536	357	28.5	47	1009.8	0.499	4.15	15.92	0	53	99	1613	3889	6745	8535	5463	984	5	958	2.26961	1.81930	0.96597	0.51041	0.16855
91.0	   5506	 38	 13.3	 79.5	2.85	1.98	2.00	3540	719	28.5	47	1009.9	0.499	4.15	15.76	0	53	100	1443	3426	5854	7613	5969	1153	0	630	2.07588	1.66401	0.88352	0.36849	0.15416
95.0	   5276	 38	 13.1	 74.9	2.59	1.98	2.01	3537	1199	28.5	48	1009.9	0.500	4.15	15.56	0	53	58	1365	3275	5578	7249	5640	1340	0	554	1.99591	1.59991	0.84948	0.35430	0.13232
99.0	   5597	 37	 12.7	 77.6	2.74	2.01	2.00	3533	99	28.6	48	1010.0	0.500	4.16	15.72	0	53	37	1703	3962	6021	7277	5643	1316	0	597	2.06750	1.60538	0.87995	0.36701	0.13706
103.0	   5755	 35	 12.4	 77.0	2.89	2.01	1.98	3533	358	28.5	48	1009.9	0.500	4.15	15.56	0	53	65	1942	4487	6573	7576	5231	776	17	667	1.99920	1.55234	0.82694	0.35488	0.13254
107.0	   6134	 32	 13.3	 81.3	3.18	2.02	2.00	3533	719	28.5	48	1010.0	0.500	4.15	15.64	0	53	100	2346	5442	7785	8296	3627	429	454	683	2.00069	1.55350	0.82755	0.40843	0.13264
111.0	   5403	 35	 12.5	 84.7	3.66	2.02	2.01	3533	1199	28.6	48	1010.1	0.500	4.15	15.68	0	53	77	1775	4077	6345	7514	4956	0	0	933	1.93222	1.50034	0.79923	0.39445	0.18530
115.0	   6671	 30	 13.9	 95.3	4.26	2.07	1.99	3533	99	28.5	48	1010.0	0.500	4.15	15.84	0	53	63	3225	7026	8119	7413	4726	0	0	1101	2.17639	1.54714	0.90023	0.44430	0.20871
119.0	   6200	 31	 13.2	 93.2	4.19	2.09	2.00	3533	357	28.4	47	1009.9	0.500	4.15	15.92	0	53	47	2892	6278	7465	7017	4625	0	19	1081	2.08999	1.48572	0.89704	0.42666	0.20043
123.0	   6905	 29	 12.8	100.1	4.64	2.09	1.98	3531	720	28.5	47	1010.0	0.500	4.15	15.88	0	53	79	3724	8018	8666	7103	3957	12	29	1209	2.16834	1.54141	0.93067	0.48081	0.20794
