Partector2 SN 8365
Firmware: rev 275
Hardware: rev 3.2
BLE firmware: rev 9
Calibration: 6.20, calibrated on 21.2.2023
Cal params 1: -2.95, 20.53, 3.85, 0.970, 0.00000682, 1.07, 60, 100
Cal params 2: -4.94, 42.87, 13.57, 0.933, 150, 360
Cal params 3: -19.14, 81.95, 31.46, 0.792, 300, 720
Start: 11.8.2023 07:18:01
statistics: 175570 LDSAmin, 10288 min, 309432 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1820 dp setpoint, 10 P, 500 I, 0.50 flow%
settings 3: 0 integration time, 1 adaptive DV, 4 multi DV, 1 multiDV on, 20 DV switchtime, 1 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 989.0 dPcal_p, 293.6 dPcal_T, 988.0 cal_p, 296.6 cal_T, 123 compensation, 0 OEM
settings 4: 999999 alarmlevel, 0 USBtransmit, 0 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 12.6...33.3, RH 13.0...81.9
gain	1516.0	1553.0
startup	1455.8	1492.5
ST: Ipump 20.8mA	Display 16.4V	CE -23.6V	+ 2.50V	- -2.50V

time	number	diam	LDSA	surface	mass	sigma	idiff	ucor	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	steps	n10.00	n16.26	n26.43	n42.96	n69.83	n113.52	n184.55	n300.00	A1	A2	A3	A4	A5
3.0	  31033	 26	 38.6	 83.8	0.57	1.39	0.00	0	359	21.2	55	1018.5	0.499	3.98	21.40	0	58	100	0	34631	78692	33741	0	0	0	0	6.17094	3.91387	0.00000	0.00000	0.00000
7.0	  20145	 27	 36.4	182.4	3.20	2.43	2.00	3588	359	21.3	58	1018.8	0.500	3.99	21.60	0	58	97	20065	37805	0	0	27635	9962	0	0	6.27102	3.97734	4.17443	0.00000	0.00000
11.0	  18236	 24	 37.8	270.7	7.94	2.68	1.98	3587	720	21.3	59	1018.9	0.499	3.98	21.64	0	58	89	22079	43840	0	0	0	14344	6155	0	6.22819	3.95018	4.14593	2.12634	0.00000
15.0	   9332	 38	 34.7	295.3	11.96	2.92	2.00	3588	1199	21.4	60	1018.9	0.498	3.98	22.12	0	58	100	6199	12651	7798	600	2895	7365	4977	1737	5.36701	3.40398	3.57266	1.83233	0.52033
19.0	  13017	 37	 38.8	356.9	13.10	2.84	1.99	3591	100	21.4	61	1018.8	0.501	3.98	20.72	0	58	84	8608	17576	10903	1039	4349	10776	7071	1360	6.79909	5.13373	4.52596	2.32125	0.65917
23.0	  12218	 35	 39.2	326.7	11.81	2.89	2.03	3589	359	21.4	61	1018.7	0.500	3.98	20.64	0	58	94	8875	17851	9569	0	3249	10508	6735	1109	6.23278	4.70613	4.22516	2.12791	0.60427
27.0	  10793	 41	 38.1	346.8	13.21	2.90	2.00	3588	719	21.4	61	1018.9	0.500	3.98	20.72	0	57	100	6337	13177	8906	1993	2906	9200	7148	1476	6.27928	4.74124	4.25669	2.32932	0.60878
31.0	  11448	 36	 37.5	355.9	15.13	2.90	2.01	3589	1199	21.4	61	1018.8	0.501	3.98	20.56	0	57	59	7976	16152	9959	740	3765	8103	4984	2566	6.02616	4.55012	4.08510	2.23542	0.76744
35.0	   8194	 71	 38.6	367.6	14.57	2.23	1.99	3589	99	21.4	61	1018.8	0.499	3.98	20.08	0	57	100	769	2037	4274	6984	8636	8192	5790	2146	6.25610	5.56022	4.24098	2.32072	0.79672
39.0	   8851	 85	 39.5	458.3	17.47	2.09	2.00	3589	359	21.4	61	1018.7	0.500	3.98	20.48	0	57	33	557	1489	2853	5354	9482	11368	8748	2091	7.68006	6.82578	5.74746	2.84894	0.97806
43.0	   6817	 89	 39.5	405.2	16.60	2.16	2.00	3592	720	21.5	62	1018.6	0.500	3.98	20.44	0	57	18	413	1142	2269	4070	6457	8274	7278	2398	6.33309	5.62864	4.73944	2.61101	0.80652
47.0	   6758	 96	 39.8	362.3	11.83	2.07	2.00	3587	1201	21.4	62	1018.8	0.500	3.98	20.00	0	57	45	579	1562	1423	1903	4512	11456	10384	201	6.43816	5.72202	4.81807	2.65433	0.59386
51.0	   6630	 94	 38.4	361.9	12.89	2.01	2.03	3588	99	21.4	62	1018.9	0.500	3.98	20.08	0	57	56	288	932	1742	3283	5694	9651	8904	921	6.16141	5.54584	4.61096	2.54023	0.56833
55.0	   6261	 86	 35.4	329.0	12.46	2.11	2.01	3588	359	21.4	62	1018.9	0.500	3.98	20.04	0	57	19	335	1024	2261	4073	5898	7855	6846	1374	5.49282	4.94404	3.97847	2.26459	0.50666
59.0	   6957	 85	 36.7	355.2	13.21	2.10	1.99	3587	719	21.5	62	1018.6	0.500	3.98	19.68	0	57	48	371	1167	2553	4561	6499	8940	7511	1360	6.01150	5.41090	4.35415	2.47782	0.55450
63.0	   7261	 86	 39.8	351.8	11.19	2.16	2.01	3585	1199	21.5	62	1018.9	0.500	3.98	19.40	0	57	31	480	1792	2960	4091	3165	11456	10443	19	6.39204	5.75343	4.62978	2.63467	0.49911
67.0	   7299	 82	 38.8	344.2	11.08	2.30	2.01	3587	100	21.5	62	1018.8	0.500	3.99	19.48	0	57	23	868	2813	2969	3013	2140	13715	8804	262	6.28887	5.59648	4.55505	2.59215	0.49105
71.0	   7866	 77	 39.0	367.0	13.27	2.21	2.00	3585	359	21.5	61	1018.9	0.500	3.98	19.64	0	56	31	644	1904	3738	5797	6301	9432	8289	1167	6.42823	5.72050	4.44677	2.64959	0.50193
